word,variant_forms,abreviaturas,translation_value
pacha,['pača'],['s'],"mundo, espacio, natura- leza; ecosistema."
pachak,"['pačak', 'patsax', 'patsak', 'patsag', 'pasak']",['num'],"cien, ciento."
pachallina,['pačalyina'],['s'],"Ima puchkawan- pash awashka, warmipa washata pillurina."
pakana,['pakana'],['v'],"ocultar, esconder."
pakarichina,['pakaričina'],['v'],amz.
pakay,['pakay'],['s'],"sns, amz."
pakcha,"['paxča', 'phaxča', 'faxča']",['s'],"fuente de agua, chorrera, cascada."
paki,"['paki', 'phaki', 'faki']",['adj'],"pedazo, rotura, fractura; fracción (quebrado en matemáti- cas)."
pakina,"['pakina', 'phakina', 'fakina']",['v'],"peda- cear, romper, quebrar, fracturar, dividir."
paklla,"['paxlya', 'pakža']",['adj'],amz.
pakllana,['paxlyana'],['v'],amz.
pakta,['paxta'],['adj'],amz.
paktachina,['paxtačina'],['v'],"igualar, comple-   tar."
paktalla,"['paxtalya', 'paktaža']",['adj'],mediano.
paktamuna,['paktamuna'],['v'],llegar.
paktana,['paxtana'],['v'],alcanzar.
paktarak,['paxtarak'],['interj'],expresión prohi- bitiva ¡cuidado!.
paku,"['paku', 'paxu', 'paxo']",['s'],amz.
pala,['pala'],['adj'],amz.
palak,['phalag'],['s'],sc.
palamaku,"['palamaku', 'falamaku', 'palama']",['s'],bo.
palanikuk,"['palanikuk', 'phalanigux']",['adj'],sc.
palanina,['phalanina'],['v'],"brillar, resplandecer."
palanta,"['palaŋta', 'palanda']",['s'],"plátano, gui- neo."
palla,['palya'],['s'],"mujer noble, escogida en el tiempo del incario."
pallkayana,"['palykayana', 'palkayana']",['v'],cre- cer pegado los frutos.
pallta,"['palytay', 'palta']",['s'],aguacate.
palltana,"['palytana', 'paltana']",['v'],"poner una cosa sobre otra, sobreponer."
pampa,"['pamba', 'paŋba']",['s'],"suelo, planicie, llanura, valle."
ña,['ña'],['adv'],"ya, al instante."
ñachak,"['ñačax', 'ñačak', 'ñača', 'ñačix']",['s'],ss.
ñaka,"['ñaka', 'ñaxa']",['adv'],antes.
ñakalla,['ñakalya'],['adv'],"recién, hace poco."
ñakchana,"['ñaxčana', 'ñagčana']",['v'],peinar.
ñan,"['ñaŋ', 'ñampi']",['s'],"camino, sendero, vía."
ñatak,"['ñatak', 'ñatax', 'ñata', 'ñatag']",['interj'],ex- presión prohibitiva ¡cuidado!.
ñawchi,['ñawči'],['adj'],"punta, agudo, aguzado."
ñawpa,"['ñawpa', 'ñaŋpa']",['adv'],"antiguo, re- moto; adelante."
ñawpak,"['ñawpax', 'ñawpak', 'ñawpag', 'ñaw-\nbug']",['adv'],"delante, primero, delantero, pre- decesor."
ñitina,"['ñitina', 'nitina']",['v'],"oprimir, apretar, apa- churrar, comprimir, hacer presión, apiñar, agolpar, atracar, embutir."
ñuka,"['ñuka', 'ñuxa', 'ñux', 'ñuku']",['pron'],yo.
ñukanchik,"['ñukančix', 'ñukančik', 'ñukunčik', 'ñukunčig', 'ñukunčix', 'ñukunči', 'kwanchik']",['pron'],nosotros.
ñuku,['ñuku'],['s'],"basura, residuo, aserrín."
ñukñu,['ñugñu'],['adj'],"soso, desabrido."
ñusta,['ñusta'],['s'],"princesa, reina soltera."
ñutu,['ñutu'],['s'],amz.
ñutuna,['ñutuna'],['v'],"pulverizar, suavizar, re- finar."
ñuñu,['ñuñu'],['s'],leche materna humana.
ñuñukina,['ñuñukina'],"['v', 's']",guardar algo en el ceno.
